Bot name
WP 1.0 bot
MalnadachBot
Cydebot
ClueBot NG
AnomieBOT
Yobot
InternetArchiveBot
SmackBot
Citation bot
Monkbot
Addbot
MediaWiki message delivery
EmausBot
SineBot
AAlertBot
InceptionBot
Xqbot
Lowercase sigmabot III
PrimeBOT
GreenC bot
RjwilmsiBot
ClueBot
KasparBot
BattyBot
Cyberbot I
COIBot
JJMC89 bot III
Legobot
RussBot
DeltaQuadBot
AvicBot
KolbertBot
SporkBot
ClueBot III
FrescoBot
JJMC89 bot
The Anomebot2
BG19bot
Bender the Bot
Fbot
BetacommandBot
Luckas-bot
CommonsDelinker
Lightbot
Reports bot
AlexNewArtBot
RMCD bot
BD2412bot
XLinkBot
ZéroBot
HBC AIV helperbot5
ListeriaBot
OrphanBot
WikiCleanerBot
MiszaBot III
DPL bot
Helpful Pixie Bot
TXiKiBoT
VeblenBot
DatBot
ListasBot
Thijs!bot
Cyberbot II
Mathbot
VolkovBot
Kingbotk
B-bot
Erik9bot
HasteurBot
Alaibot
JL-Bot
SieBot
HostBot
BOTijo
TedderBot
Xenobot Mk V
D6
EdwardsBot
BU RoBOT
Bluebot
ImageRemovalBot
CmdrObot
EarwigBot
Full-date unlinking bot
SDZeroBot
RonBot
DASHBot
BotMultichill
ShortDescBot
Magic links bot
SdkbBot
YurikBot
VoABot II
BJBot
DumbBOT
MiszaBot II
Eubot
ArthurBot
AntiVandalBot
VIAFbot
HBC AIV helperbot7
OAbot
ImageTaggingBot
SuggestBot
Escarbot
CorenSearchBot
SoxBot
MiszaBot I
Cewbot
Amalthea (bot)
MetsBot
DYKUpdateBot
FlaBot
Filedelinkerbot
RFC bot
DumZiBoT
Qwerfjkl (bot)
Scsbot
Polbot
Ops Monitor (WMF)
FastilyBot
STBotI
Bot1058
Xenobot
Alexbot
KrimpBot
Community Tech bot
Dexbot
MartinBot
ProteinBoxBot
Kbdankbot
DeprecatedFixerBot
MusikBot
HotArticlesBot
MGA73bot
MystBot
MenoBot
Femto Bot
BracketBot
FireflyBot
Chobot
YFdyh-bot
Hazard-Bot
PearBOT II
HBC Archive Indexerbot
Tom.Bot
タチコマ robot
Theo's Little Bot
JAnDbot
Kumi-Taskbot
Kotbot
SQLBot
DrilBot
WOSlinkerBot
NihlusBOT
GrouchoBot
WikitanvirBot
FairuseBot
WildBot
Zorrobot
CheMoBot
HBC AIV helperbot3
Rambot
MartinBotIII
DodoBot
TinucherianBot
H3llBot
DYKHousekeepingBot
BHGbot
RedBot
NoomBot
JarBot
Tawkerbot2
Citation bot 1
ShepBot
Reedy Bot
GA bot
Detroiterbot
SkiersBot
BernsteinBot
Chris G Bot 3
LaraBot
LaaknorBot
SatyrBot
DannyS712 bot
Hmainsbot1
Ganeshbot
Invadibot
ArmbrustBot
Svenbot
BryanBot
JCW-CleanerBot
PseudoBot
Tawkerbot
Pearle
DarknessBot
TolBot
OKBot
Makecat-bot
LucienBOT
MilHistBot
Dreamy Jazz Bot
Alphachimpbot
ChuispastonBot
718 Bot
Snotbot
KLBot2
HagermanBot
Numbo3-bot
AlleborgoBot
Robbot
28bot
Rei-bot
Josvebot
DFBot
Mr.Z-bot
RM bot
RobotG
Wikinews Importer Bot
TheSandBot
EnterpriseyBot
QEDKbot
The wubbot
BotMultichillT
MiszaBot
CactusBot
LivingBot
DSisyphBot
AvocatoBot
BrownBot
GimmeBot
OgreBot
ArticlesForCreationBot
DannyS712 bot III
CanisRufus
Ahechtbot
Qbugbot
AdminStatsBot
PhotoCatBot
TokenzeroBot
RibotBOT
Redirect fixer
MadmanBot
STBot
Ptbotgourou
HBC AIV helperbot
MoohanBOT
ArticleAlertbot
MifterBot
Erwin85Bot
CitationCleanerBot
HooptyBot
MastiBot
MusikBot II
Werdnabot
DemonDays64 Bot
Ralbot
SoxBot V
Thehelpfulbot
Pi bot
Amirobot
